ID,TYPE,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI
2892,K014,2.186.445,4.143.974,BUS -H4-M19--,Sant Andreu
2893,K014,2.180.442,41.461.315,BUS -76-D50-199-183-197--,Ciutat Meridiana
2894,K014,2.176.805,41.459.568,BUS -62--,Ciutat Meridiana
2895,K014,2.141.366,41.356.745,BUS -109-V3-H16--,la Marina de Port
2896,K014,2.156.099,41.368.574,BUS -55--,el Poble-sec
2897,K014,2.131.173,41.393.052,BUS -70-H6--,les Tres Torres
2898,K014,2.141.979,41.369.535,BUS -46-65-79-109-165-L70-L72-L80-L86-L94-L95-H12-H16-E95-E86-E70-E80--,la Font de la Guatlla
2899,K015,2.160.163,4.142.976,NITBUS -N4--,Horta
2900,K014,2.166.821,41.441.979,BUS -27-47-60-122-V27--,Canyelles
2901,K014,219.543,4.140.526,BUS -7--,el Poblenou
2902,K015,2.215.506,41.407.018,NITBUS -N28--,Diagonal Mar i el Front Marítim del Poblenou
2903,K014,2.131.044,41.343.033,BUS -23--,la Marina del Prat Vermell
2904,K014,2.182.963,41.400.616,BUS -7-H12--,el Fort Pienc
2905,K015,2.147.623,41.392.084,NITBUS -N7--,l'Antiga Esquerra de l'Eixample
2906,K014,2.124.111,41.390.328,BUS -6--,Pedralbes
2907,K015,2.187.384,41.412.555,NITBUS -N9--,el Clot
2908,K014,2.179.699,41.462.178,BUS -62-104--,Ciutat Meridiana
2909,K014,2.186.463,41.442.367,BUS -97-104--,Sant Andreu
2910,K015,220.621,41.417.662,NITBUS -N2--,Provençals del Poblenou
2911,K014,216.084,41.413.972,BUS -24-V19--,la Salut
2912,K014,2.159.938,41.435.471,BUS -185--,Horta
2913,K014,2.176.709,4.144.642,BUS -127--,les Roquetes
2914,K014,2.142.373,41.371.285,BUS -91-115-V5--,la Bordeta
2915,K014,2.125.995,41.412.367,BUS -196--,Sant Gervasi - la Bonanova
2916,K014,2.198.882,41.400.386,BUS -192--,el Poblenou
2917,K014,218.001,41.421.141,BUS -117--,el Guinardó
2918,K014,2.141.577,4.135.345,BUS -125--,la Marina del Prat Vermell
2919,K014,2.143.428,41.427.805,BUS -27-60-76-H4-M19--,Montbau
2920,K014,2.122.074,41.397.226,BUS -130--,Sarrià
2921,K014,2.114.018,41.384.869,BUS -L97-H6-E97-E98-E79-E43-E30--,la Maternitat i Sant Ramon
2922,K014,2.089.654,41.424.613,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
2923,K014,2.089.717,41.424.581,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
2924,K014,2.090.089,41.425.602,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
2925,K014,2.157.795,41.424.702,BUS -V23--,el Carmel
2926,K014,2.124.761,41.340.624,BUS -23--,la Marina del Prat Vermell
2927,K014,2.143.287,41.424.412,BUS -185-V17-M19--,la Teixonera
2928,K014,2.187.328,41.404.913,BUS -192-V25-V23--,el Clot
2929,K014,2.184.641,41.441.903,BUS -132--,la Prosperitat
2930,K015,2.177.351,41.422.205,NITBUS -N6--,el Guinardó
2931,K014,2.202.511,41.403.566,BUS -192--,el Poblenou
2932,K014,2.095.105,41.417.919,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
2933,K014,2.100.946,41.428.273,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
2934,K014,2.093.066,41.425.955,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
2935,K014,209.737,4.142.545,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
2936,K015,2.163.357,4.142.846,NITBUS -N4--,Horta
2937,K014,218.637,41.422.899,BUS -96--,la Sagrera
2938,K015,2.191.303,41.437.007,NITBUS -N9--,Sant Andreu
2939,K014,2.187.424,41.451.158,BUS -127-D50--,la Trinitat Nova
2940,K014,2.171.721,41.418.019,BUS -39-D40-V23--,el Guinardó
2941,K014,2.143.216,41.386.022,BUS -54--,la Nova Esquerra de l'Eixample
2942,K014,2.139.477,4.138.279,BUS -78-V7--,Sants
2943,K015,2.171.595,41.408.236,NITBUS -N0-N1--,la Sagrada Família
2944,K014,2.173.176,41.421.878,BUS -39--,el Guinardó
2945,K014,2.173.237,41.430.306,BUS -V27--,Vilapicina i la Torre Llobeta
2946,K014,2.138.945,41.426.677,BUS -19-76--,Sant Genís dels Agudells
2947,K014,215.628,41.353.887,BUS -107--,el Poble-sec
2948,K014,2.153.874,41.355.099,BUS -107--,el Poble-sec
2949,K014,2.157.726,41.356.459,BUS -107--,el Poble-sec
2950,K014,216.377,41.380.371,BUS -120--,el Raval
2951,K014,2.171.472,41.419.144,BUS -117-V23--,el Guinardó
2952,K014,2.164.532,41.374.897,BUS -21-D20-H14-V11-D50--,el Poble-sec
2953,K015,2.151.945,41.377.448,NITBUS -N1-N13-N14-N15-N16-N17-N2-N18-N28--,la Nova Esquerra de l'Eixample
2954,K014,2.116.472,41.377.465,BUS -D20--,la Maternitat i Sant Ramon
2955,K014,219.144,41.452.913,BUS -126-127--,la Trinitat Vella
2956,K014,2.168.274,41.434.093,BUS -122--,Can Peguera
2957,K014,2.170.552,41.378.039,BUS -120--,el Raval
2958,K014,2.162.937,41.373.205,BUS -121--,el Poble-sec
2959,K014,2.169.537,4.137.445,BUS -121--,el Poble-sec
2960,K014,2.096.934,41.419.401,BUS -118-128--,"Vallvidrera, el Tibidabo i les Planes"
2961,K014,2.094.472,41.418.273,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
2962,K014,2.094.918,41.417.857,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
2963,K014,2.096.858,41.419.245,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
2964,K014,2.162.324,41.406.376,BUS -116--,el Camp d'en Grassot i Gràcia Nova
2965,K014,2.151.434,41.410.692,BUS -116--,la Salut
2966,K014,2.140.889,4.141.737,BUS -129--,Vallcarca i els Penitents
2967,K014,2.180.648,41.467.101,BUS -197--,Vallbona
2968,K014,2.149.337,41.412.961,BUS -116--,la Salut
2969,K014,2.172.299,41.418.296,BUS -117--,el Guinardó
2970,K014,2.160.228,41.406.183,BUS -116--,la Vila de Gràcia
2971,K014,2.155.122,41.420.982,BUS -119--,el Carmel
2972,K014,2.172.755,41.430.426,BUS -122-V27--,el Turó de la Peira
2973,K015,2.176.773,41.374.817,NITBUS -N0-N6--,el Raval
2974,K015,2.177.169,4.137.483,NITBUS -N0-N6--,el Raval
2975,K014,2.189.652,41.447.985,BUS -11--,la Trinitat Vella
2976,K014,2.189.649,41.448.149,BUS -V31--,la Trinitat Vella
2977,K014,213.493,41.398.499,BUS -70--,Sant Gervasi - Galvany
2978,K014,2.190.717,41.448.757,BUS -11-V31--,la Trinitat Vella
2979,K014,2.136.129,41.416.278,BUS -124--,Vallcarca i els Penitents
2980,K014,2.149.693,41.371.081,BUS -100--,la Font de la Guatlla
2981,K014,218.089,4.141.619,BUS -117-192--,Navas
2982,K014,2.218.589,41.413.244,BUS -B23-B20--,el Besòs i el Maresme
2983,K014,2.117.512,4.137.858,BUS -157-H8-M12--,la Maternitat i Sant Ramon
2984,K015,2.218.334,41.410.314,NITBUS -N7-N28--,Diagonal Mar i el Front Marítim del Poblenou
2985,K014,213.161,41.380.725,BUS -54--,les Corts
2986,K015,213.161,41.380.725,NITBUS -N3--,les Corts
2987,K015,2.136.836,41.375.343,NITBUS -N14-N2-N28--,Sants
2988,K015,2.134.196,41.405.823,NITBUS -N8--,Sant Gervasi - la Bonanova
2989,K015,214.837,41.435.655,NITBUS -N4--,la Vall d'Hebron
2990,K014,2.194.237,41.415.022,BUS -V27--,Sant Martí de Provençals
2991,K014,2.150.653,41.359.914,BUS -13--,el Poble-sec
2992,K014,2.207.729,41.420.512,BUS -H12-V31-136--,la Verneda i la Pau
2993,K014,2.174.362,41.444.005,BUS -11-D40-V29--,Verdun
2994,K014,2.192.452,41.449.876,BUS -11-V31--,la Trinitat Vella
2995,K014,214.694,41.394.869,BUS -68-V11--,Sant Gervasi - Galvany
2996,K014,2.135.895,41.386.169,BUS -59-78-V7-H8--,les Corts
2997,K014,2.168.802,41.425.676,BUS -117-V23--,la Font d'en Fargues
2998,K014,2.157.736,41.389.718,BUS -54-67-V13--,l'Antiga Esquerra de l'Eixample
2999,K015,211.815,41.325.022,NITBUS -N1--,la Marina del Prat Vermell
3000,K015,2.149.142,41.420.179,NITBUS -N5--,el Coll
3001,K015,2.147.579,41.417.633,NITBUS -N4-N5--,el Coll
3002,K014,2.134.016,41.383.938,BUS -54--,les Corts
3003,K015,2.171.992,41.460.514,NITBUS -N3--,Ciutat Meridiana
3004,K014,2.177.526,41.386.085,BUS -120--,"Sant Pere, Santa Caterina i la Ribera"
3005,K014,218.032,41.385.289,BUS -120--,"Sant Pere, Santa Caterina i la Ribera"
3006,K014,2.130.491,41.413.251,BUS -196-H2--,Sant Gervasi - la Bonanova
3007,K014,2.192.861,4.141.418,BUS -H10-V27--,el Clot
3008,K014,2.177.306,41.426.681,BUS -47-122-H6-D40-D50--,Vilapicina i la Torre Llobeta
3009,K014,2.199.636,41.406.323,BUS -7--,el Poblenou
3010,K014,2.138.252,41.416.241,BUS -123-124-V17-H4-H2--,Vallcarca i els Penitents
3011,K014,2.166.628,41.376.187,BUS -121-V11--,el Raval
3012,K015,2.140.527,41.421.606,NITBUS -N4--,Sant Genís dels Agudells
3013,K014,210.812,41.390.009,BUS -H2--,Pedralbes
3014,K014,2.196.631,41.407.937,BUS -192--,Provençals del Poblenou
3015,K015,2.194.489,41.403.851,NITBUS -N11-N8--,el Parc i la Llacuna del Poblenou
3016,K014,2.165.032,41.419.214,BUS -119--,Can Baró
3017,K014,2.145.411,41.354.962,BUS -125-V5--,la Marina de Port
3018,K014,2.139.473,41.364.086,BUS -V5--,la Marina de Port
3019,K014,2.136.196,41.382.347,BUS -V5--,les Corts
3020,K014,2.133.907,41.377.287,BUS -V5--,Sants
3021,K014,2.164.324,41.391.883,BUS -X1--,la Dreta de l'Eixample
3022,K014,2.178.533,41.402.519,BUS -B24-X1--,la Sagrada Família
3023,K014,2.187.092,41.414.344,BUS -62--,el Clot
3024,K014,2.121.833,41.376.249,BUS -V1--,la Maternitat i Sant Ramon
3025,K014,2.178.004,41.458.651,BUS -199--,Torre Baró
3026,K015,2.169.853,4.138.625,NITBUS -N17-N18--,la Dreta de l'Eixample
3027,K014,2.176.074,41.455.901,BUS -199--,Torre Baró
