ID,TYPE,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI
0,K014,2.106.711,41.402.393,BUS -130--,Sarrià
1,K014,2.177.905,41.450.021,BUS -127--,les Roquetes
2,K014,2.174.522,41.449.141,BUS -127--,les Roquetes
3,K014,2.114.803,41.377.203,BUS -54-157-D20-H8--,la Maternitat i Sant Ramon
4,K014,2.103.723,41.414.101,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
5,K014,2.180.171,41.445.976,BUS -60-76-127--,la Prosperitat
6,K014,2.153.442,41.375.762,BUS -55--,Sant Antoni
7,K014,2.180.552,41.456.095,BUS -180--,Torre Baró
8,K014,2.182.209,41.456.335,BUS -180--,Torre Baró
9,K014,2.181.541,41.459.195,BUS -180--,Torre Baró
10,K014,2.183.669,41.463.001,BUS -76-97--,Vallbona
11,K014,2.161.836,41.441.564,BUS -182--,Horta
12,K014,2.182.311,41.436.646,BUS -11-132--,Porta
13,K015,2.133.911,41.398.929,NITBUS -N0--,Sant Gervasi - Galvany
14,K014,2.161.202,41.395.323,BUS -101--,la Dreta de l'Eixample
15,K014,2.163.791,41.416.399,BUS -114--,Can Baró
16,K014,2.181.759,41.416.842,BUS -H8--,Navas
17,K014,2.170.306,41.434.281,BUS -122--,el Turó de la Peira
18,K014,2.178.403,41.459.078,BUS -199-183--,Torre Baró
19,K014,2.132.025,41.427.525,BUS -112--,Sant Genís dels Agudells
20,K014,213.391,41.427.193,BUS -112--,Sant Genís dels Agudells
21,K014,2.109.132,41.402.029,BUS -130--,Sarrià
22,K014,2.108.506,41.403.187,BUS -130--,Sarrià
23,K014,2.108.599,41.403.876,BUS -130--,Sarrià
24,K014,2.154.709,41.401.078,BUS -114--,la Vila de Gràcia
25,K014,2.189.207,41.422.672,BUS -126-H8-V29--,la Sagrera
26,K014,2.139.221,41.364.034,BUS -125-V5--,la Marina de Port
27,K014,2.186.312,41.451.701,BUS -127-180-197--,la Trinitat Nova
28,K015,2.186.312,41.451.701,NITBUS -N1--,la Trinitat Nova
29,K014,2.166.315,41.416.581,BUS -114--,el Guinardó
30,K014,2.151.508,41.368.129,BUS -100--,el Poble-sec
31,K014,2.167.246,41.371.981,BUS -121--,el Poble-sec
32,K014,2.165.445,41.419.102,BUS -119--,el Guinardó
33,K014,2.127.029,41.397.107,BUS -V7--,Sarrià
34,K014,2.140.827,41.425.069,BUS -112--,Sant Genís dels Agudells
35,K014,2.200.909,414.137,BUS -H12--,Provençals del Poblenou
36,K014,2.175.389,41.373.103,BUS -21--,el Poble-sec
37,K014,2.163.885,41.440.232,BUS -122-185--,la Guineueta
38,K014,2.136.307,41.401.162,BUS -H6--,Sant Gervasi - Galvany
39,K014,2.132.016,41.429.052,BUS -112--,Sant Genís dels Agudells
40,K014,2.165.814,41.369.033,BUS -150--,el Poble-sec
41,K014,2.167.041,41.365.101,BUS -150--,el Poble-sec
42,K014,2.157.628,41.355.763,BUS -107--,el Poble-sec
43,K014,215.274,41.352.908,BUS -107--,el Poble-sec
44,K014,2.161.263,41.362.739,BUS -150--,el Poble-sec
45,K015,2.136.307,41.401.162,NITBUS -N0--,Sant Gervasi - Galvany
46,K014,2.168.308,41.404.908,BUS -47-H8--,el Camp d'en Grassot i Gràcia Nova
47,K015,2.168.308,41.404.908,NITBUS -N4--,el Camp d'en Grassot i Gràcia Nova
48,K014,2.159.943,41.438.552,BUS -185--,Horta
49,K015,2.166.821,41.441.979,NITBUS -N4-N6--,Canyelles
50,K015,219.543,4.140.526,NITBUS -N7--,el Poblenou
51,K014,2.098.994,41.428.844,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
52,K014,2.160.817,41.407.975,BUS -39-114-116--,el Camp d'en Grassot i Gràcia Nova
53,K015,219.092,41.406.185,NITBUS -N2--,el Parc i la Llacuna del Poblenou
54,K014,217.352,41.438.464,BUS -47-76-H4-H2-M19-182--,la Guineueta
55,K014,2.177.891,41.442.547,BUS -76-H2-D50--,Verdun
56,K015,2.177.891,41.442.547,NITBUS -N1--,Verdun
57,K015,2.178.966,4.144.503,NITBUS -N1--,Verdun
58,K014,2.174.651,41.444.913,BUS -11-60-V29--,les Roquetes
59,K014,2.177.507,41.445.883,BUS -11-60-127-V29--,les Roquetes
60,K014,2.162.313,41.416.226,BUS -114--,Can Baró
61,K014,2.156.639,41.406.486,BUS -39--,la Vila de Gràcia
62,K014,2.139.522,41.420.824,BUS -119--,Sant Genís dels Agudells
63,K014,2.167.118,41.415.753,BUS -114--,el Guinardó
64,K014,2.159.253,41.412.424,BUS -24-D40--,la Salut
65,K015,2.156.376,41.410.607,NITBUS -N0--,la Salut
66,K014,2.163.622,41.421.501,BUS -117--,la Font d'en Fargues
67,K014,2.163.617,4.142.174,BUS -117--,la Font d'en Fargues
68,K014,2.118.492,41.334.828,BUS -21--,la Marina del Prat Vermell
69,K014,2.111.279,41.331.814,BUS -21--,la Marina del Prat Vermell
70,K014,2.141.731,41.369.675,BUS -91-115--,la Bordeta
71,K014,214.038,41.417.575,BUS -123--,Vallcarca i els Penitents
72,K014,2.140.975,41.413.327,BUS -129--,Vallcarca i els Penitents
73,K014,2.151.002,41.419.039,BUS -129--,el Coll
74,K014,2.200.125,4.140.871,BUS -V27--,Provençals del Poblenou
75,K015,2.200.125,4.140.871,NITBUS -N8--,Provençals del Poblenou
76,K014,2.145.241,41.392.124,BUS -141--,l'Antiga Esquerra de l'Eixample
77,K014,2.133.437,41.414.396,BUS -196-V13-H2--,Sant Gervasi - la Bonanova
78,K014,2.190.576,41.453.401,BUS -127--,la Trinitat Vella
79,K014,2.108.768,41.394.912,BUS -113--,Pedralbes
80,K014,2.126.641,41.388.994,BUS -H6-V3--,Pedralbes
81,K014,209.635,41.416.507,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
82,K014,2.096.371,41.416.448,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
83,K014,2.160.321,41.426.547,BUS -19-102-87-H2-V23--,Horta
84,K014,2.155.984,41.437.493,BUS -185--,Horta
85,K014,217.979,41.372.453,BUS -V11--,el Raval
86,K015,2.172.312,41.412.832,NITBUS -N0--,el Guinardó
87,K014,2.139.248,41.415.287,BUS -131--,Vallcarca i els Penitents
88,K014,2.140.069,41.415.173,BUS -131--,Vallcarca i els Penitents
89,K014,2.097.913,41.418.477,BUS -118-128--,"Vallvidrera, el Tibidabo i les Planes"
90,K014,2.094.973,41.424.559,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
91,K014,2.099.829,41.425.716,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
92,K014,2.096.184,4.142.616,BUS -128--,"Vallvidrera, el Tibidabo i les Planes"
93,K014,2.161.828,41.420.842,BUS -22--,el Carmel
94,K015,2.165.409,41.439.467,NITBUS -N6--,la Guineueta
95,K014,2.164.786,41.402.783,BUS -47-H8--,el Camp d'en Grassot i Gràcia Nova
96,K015,2.190.018,41.429.358,NITBUS -N9--,Sant Andreu
97,K014,2.1598,41.367.801,BUS -55-150--,el Poble-sec
98,K014,2.195.612,41.388.404,BUS -59-V21-V27-136--,la Vila Olímpica del Poblenou
99,K015,2.195.612,41.388.404,NITBUS -N0-N15--,la Vila Olímpica del Poblenou
100,K014,2.136.259,41.425.897,BUS -112--,Sant Genís dels Agudells
101,K015,2.167.119,41.441.507,NITBUS -N4--,la Guineueta
102,K014,2.170.425,41.408.343,BUS -47-H8--,el Baix Guinardó
103,K014,2.189.575,41.452.365,BUS -127--,la Trinitat Vella
104,K014,2.176.764,41.376.039,BUS -120--,el Raval
105,K014,2.172.933,41.372.956,BUS -121--,el Poble-sec
106,K014,2.096.539,41.417.113,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
107,K014,2.094.525,41.418.237,BUS -118--,"Vallvidrera, el Tibidabo i les Planes"
108,K014,2.134.134,41.366.575,BUS -V3--,la Bordeta
109,K014,2.144.302,41.421.397,BUS -119--,la Teixonera
110,K014,2.185.849,41.466.113,BUS -197--,Vallbona
111,K014,2.180.955,41.467.619,BUS -197--,Vallbona
112,K014,2.149.764,4.141.227,BUS -116--,la Salut
113,K014,2.151.891,41.411.214,BUS -116--,la Salut
114,K014,2.169.897,41.421.205,BUS -117--,el Guinardó
115,K014,2.147.973,41.426.889,BUS -112-185-V17--,la Vall d'Hebron
116,K014,2.146.298,41.421.325,BUS -119--,la Teixonera
117,K014,2.177.169,4.137.483,BUS -D20-H14--,el Raval
118,K014,214.566,41.391.811,BUS -V9--,l'Antiga Esquerra de l'Eixample
119,K014,2.150.992,4.144.014,BUS -185--,Horta
120,K014,2.153.677,41.358.017,BUS -107--,el Poble-sec
121,K014,2.140.233,41.381.606,BUS -115--,Sants
122,K014,2.210.416,41.422.325,BUS -H12--,la Verneda i la Pau
123,K015,2.201.158,41.409.794,NITBUS -N8--,Provençals del Poblenou
124,K015,2.207.921,41.436.507,NITBUS -N8--,el Bon Pastor
125,K015,2.103.999,41.384.955,NITBUS -N12--,Pedralbes
126,K014,214.976,4.143.722,BUS -27-60-76-H4-M19--,Horta
127,K014,2.140.743,41.399.822,BUS -V13--,Sant Gervasi - Galvany
128,K014,214.837,41.435.655,BUS -27-60-76-H4-M19--,la Vall d'Hebron
129,K014,2.117.849,41.380.724,BUS -V1--,la Maternitat i Sant Ramon
130,K014,2.157.162,41.411.771,BUS -116--,la Salut
131,K014,2.187.588,41.369.252,BUS -V19--,la Barceloneta
132,K014,2.137.058,41.410.145,BUS -V13--,Sant Gervasi - la Bonanova
133,K014,2.188.181,4.137.759,BUS -V15-V19--,la Barceloneta
134,K015,2.204.872,4.143.555,NITBUS -N8--,el Bon Pastor
135,K014,2.201.307,41.425.304,BUS -33-B24-V31-136--,la Verneda i la Pau
136,K014,2.169.603,41.426.043,BUS -V23--,la Font d'en Fargues
137,K014,2.203.456,41.401.922,BUS -B25-B20-136--,el Poblenou
138,K015,2.115.572,41.331.205,NITBUS -N1--,la Marina del Prat Vermell
139,K015,215.214,41.424.866,NITBUS -N4--,el Carmel
140,K015,2.144.397,41.413.057,NITBUS -N5--,Vallcarca i els Penitents
141,K014,2.149.142,41.420.179,BUS -22-129-V19--,el Coll
142,K015,2.134.016,41.383.938,NITBUS -N3--,les Corts
143,K015,212.513,41.376.455,NITBUS -N14-N2-N28--,Sants - Badal
144,K014,2.130.121,41.377.356,BUS -70--,Sants
145,K015,2.179.693,414.153,NITBUS -N1-N4--,el Guinardó
146,K014,2.181.402,41.419.825,BUS -191--,Navas
147,K014,2.196.163,4.143.681,BUS -11-H8-H4-M28--,el Bon Pastor
148,K015,2.168.492,41.459.889,NITBUS -N3--,Ciutat Meridiana
149,K014,2.168.935,41.459.552,BUS -62-76-183--,Ciutat Meridiana
150,K014,2.153.886,41.412.413,BUS -116--,la Salut
151,K014,2.120.446,41.381.225,BUS -101--,la Maternitat i Sant Ramon
152,K014,2.132.708,41.404.224,BUS -V11--,Sant Gervasi - la Bonanova
153,K014,2.155.111,41.419.976,BUS -22-V19--,el Carmel
154,K015,2.155.111,41.419.976,NITBUS -N4-N5--,el Carmel
155,K014,215.103,41.420.265,BUS -22-87-V19--,el Carmel
156,K014,2.179.347,41.379.539,BUS -120--,el Barri Gòtic
157,K015,2.199.636,41.406.323,NITBUS -N7--,el Poblenou
158,K014,2.204.863,41.407.623,BUS -7--,Diagonal Mar i el Front Marítim del Poblenou
159,K015,2.166.959,41.385.987,NITBUS -N11-N5-N7-N9--,la Dreta de l'Eixample
160,K014,2.141.369,41.361.342,BUS -13-125-V5--,la Marina de Port
161,K014,2.141.165,41.353.281,BUS -H16--,la Marina del Prat Vermell
162,K014,2.107.358,41.390.648,BUS -H2--,Pedralbes
163,K014,2.204.076,41.436.046,BUS -11--,el Bon Pastor
164,K015,2.191.113,41.437.013,NITBUS -N9--,Sant Andreu
165,K014,2.136.255,41.409.984,BUS -V13--,Sant Gervasi - la Bonanova
166,K014,2.136.614,41.410.996,BUS -196--,Sant Gervasi - la Bonanova
167,K015,2.191.268,41.401.445,NITBUS -N11--,el Parc i la Llacuna del Poblenou
168,K014,2.181.739,41.459.706,BUS -183-197--,Torre Baró
169,K014,2.134.182,41.384.627,BUS -V5--,les Corts
170,K014,2.140.171,41.335.617,BUS -21-109--,la Marina del Prat Vermell
171,K014,2.187.168,41.410.151,BUS -62--,el Clot
172,K014,2.172.569,41.447.709,BUS -127--,les Roquetes
173,K015,2.111.899,41.376.646,NITBUS -N3--,la Maternitat i Sant Ramon
174,K014,2.158.956,41.387.845,BUS -X1--,l'Antiga Esquerra de l'Eixample
175,K014,2.187.447,41.398.009,BUS -100--,el Parc i la Llacuna del Poblenou
176,K014,217.464,41.456.139,BUS -199--,Torre Baró
177,K014,2.140.244,41.380.354,BUS -L94--,Sants
178,K014,2.164.813,41.403.332,BUS -114--,el Camp d'en Grassot i Gràcia Nova
179,K014,2.131.724,41.367.942,BUS -V1--,la Bordeta
180,K014,2.122.914,41.407.131,BUS -V9--,Sant Gervasi - la Bonanova
181,K015,2.187.158,41.408.245,NITBUS -N3--,el Clot
182,K014,2.143.314,41.434.509,BUS -135--,Montbau
183,K014,2.141.915,4.143.318,BUS -135--,Montbau
184,K014,2.141.499,41.432.094,BUS -135--,Montbau
185,K014,2.159.828,41.418.579,BUS -119--,el Carmel
186,K015,2.200.287,41.400.191,NITBUS -N8--,el Poblenou
187,K014,2.186.625,41.408.025,BUS -62-V25--,el Clot
188,K015,219.592,41.384.955,NITBUS -N12--,la Barceloneta
189,K014,2.193.069,41.442.869,BUS -11-133--,Sant Andreu
190,K014,2.168.181,41.406.653,BUS -47-H8--,el Camp d'en Grassot i Gràcia Nova
191,K014,2.166.544,41.390.771,BUS -BCTE-BCTO--,la Dreta de l'Eixample
192,K014,2.178.172,41.376.319,BUS -BCTO--,el Barri Gòtic
193,K014,2.169.253,41.386.878,BUS -BCTE-BCTO--,la Dreta de l'Eixample
194,K014,2.196.125,41.440.382,BUS -M28--,el Bon Pastor
195,K014,2.212.322,41.420.601,BUS -B21--,el Besòs i el Maresme
196,K014,2.188.633,41.398.683,BUS -V23--,el Parc i la Llacuna del Poblenou
197,K014,2.195.697,4.139.343,BUS -V23--,la Vila Olímpica del Poblenou
198,K015,220.158,41.391.157,NITBUS -N6-N28--,la Vila Olímpica del Poblenou
199,K014,2.203.945,41.438.931,BUS -H8--,el Bon Pastor
200,K014,2.154.902,4.137.111,BUS -E80--,el Poble-sec
201,K014,2.135.322,41.382.008,BUS -54--,les Corts
202,K014,219.637,41.435.613,BUS -133--,el Bon Pastor
203,K014,2.157.754,41.414.024,BUS -116--,la Salut
204,K014,213.503,41.394.374,BUS -V9--,Sant Gervasi - Galvany
205,K014,2.130.319,4.139.957,BUS -V9--,les Tres Torres
206,K014,212.472,41.401.369,BUS -V9--,les Tres Torres
207,K014,2.127.868,41.398.152,BUS -V9--,les Tres Torres
208,K014,2.209.768,41.403.293,BUS -V27-V31--,Diagonal Mar i el Front Marítim del Poblenou
209,K014,2.176.539,41.372.617,BUS -88-89--,la Marina del Prat Vermell
210,K014,2.143.326,41.328.293,BUS -88-89--,la Marina del Prat Vermell
211,K014,216.663,41.358.709,BUS -88-89--,la Marina del Prat Vermell
212,K014,2.111.963,41.394.049,BUS -V5--,Pedralbes
213,K014,2.110.378,41.393.804,BUS -V5--,Pedralbes
214,K015,2.215.585,41.418.025,NITBUS -N6--,el Besòs i el Maresme
215,K015,2.215.826,41.417.942,NITBUS -N6--,el Besòs i el Maresme
216,K014,2.148.753,4.139.568,BUS -27-D40--,Sant Gervasi - Galvany
217,K014,215.262,41.422.432,BUS -87--,el Carmel
218,K014,2.155.351,41.423.954,BUS -86-87--,el Carmel
219,K014,2.205.206,4.141.257,BUS -B25--,Provençals del Poblenou
220,K015,2.203.951,41.411.348,NITBUS -N11--,Provençals del Poblenou
221,K016,2.170.821,41.387.362,AEROBUS -A2--,la Dreta de l'Eixample
222,K015,2.178.263,41.375.823,NITBUS -N0--,el Barri Gòtic
223,K014,2.155.499,41.421.604,BUS -86--,el Carmel
224,K014,2.148.717,41.400.087,BUS -198--,Sant Gervasi - Galvany
225,K014,2.143.089,41.394.267,BUS -198--,Sant Gervasi - Galvany
226,K014,2.138.191,4.139.301,BUS -198--,Sant Gervasi - Galvany
227,K014,2.135.489,4.139.329,BUS -198--,Sant Gervasi - Galvany
228,K014,2.137.584,41.395.112,BUS -198--,Sant Gervasi - Galvany
229,K014,2.136.033,4.140.045,BUS -V11--,Sant Gervasi - Galvany
230,K014,2.193.001,41.403.916,BUS -X1--,el Parc i la Llacuna del Poblenou
231,K014,2.180.551,41.456.096,BUS -180--,Torre Baró
232,K015,2.186.771,41.416.142,NITBUS -N3--,Navas
233,K014,2.120.877,413.777,BUS -157--,la Maternitat i Sant Ramon
234,K014,2.159.207,41.429.537,BUS -87--,Horta
235,K014,2.179.528,4.141.084,BUS -V23-D50--,el Camp de l'Arpa del Clot
236,K014,2.156.909,41.393.591,BUS -7-67-V15--,l'Antiga Esquerra de l'Eixample
237,K014,2.176.964,41.410.861,BUS -117--,la Sagrada Família
238,K014,213.132,41.428.067,BUS -112--,Sant Genís dels Agudells
239,K014,214.437,41.392.286,BUS -101--,l'Antiga Esquerra de l'Eixample
240,K014,2.145.249,41.392.108,BUS -100--,l'Antiga Esquerra de l'Eixample
241,K014,2.105.336,41.414.554,BUS -111--,"Vallvidrera, el Tibidabo i les Planes"
242,K014,2.105.857,41.414.256,BUS -111--,"Vallvidrera, el Tibidabo i les Planes"
243,K014,2.116.576,41.418.326,BUS -111--,"Vallvidrera, el Tibidabo i les Planes"
244,K014,2.103.082,41.411.349,BUS -111--,"Vallvidrera, el Tibidabo i les Planes"
245,K014,2.137.184,41.329.901,BUS -21-109--,la Marina del Prat Vermell
246,K015,2.140.648,41.404.285,NITBUS -N0--,Sant Gervasi - Galvany
247,K014,2.123.685,41.376.165,BUS -54--,Sants - Badal
248,K015,2.202.718,4.144.409,NITBUS -N8--,el Bon Pastor
249,K015,2.191.513,41.417.683,NITBUS -N9--,la Sagrera
250,K014,2.155.634,41.386.862,BUS -63--,l'Antiga Esquerra de l'Eixample
251,K014,2.146.381,41.393.149,BUS -6-7-33-34-H8--,l'Antiga Esquerra de l'Eixample
252,K014,2.156.577,41.385.322,BUS -59-141-V11--,l'Antiga Esquerra de l'Eixample
253,K015,2.139.688,41.375.288,NITBUS -N14-N2-N28--,Sants
254,K015,2.144.589,41.375.312,NITBUS -N14-N2-N28--,Hostafrancs
255,K014,2.214.891,41.414.367,BUS -V31-136--,el Besòs i el Maresme
256,K015,2.183.214,41.382.818,NITBUS -N0-N6--,"Sant Pere, Santa Caterina i la Ribera"
257,K014,2.211.924,41.420.489,BUS -B21-B25-V33--,el Besòs i el Maresme
258,K015,2.175.927,41.461.577,NITBUS -N3--,Ciutat Meridiana
259,K015,2.159.057,41.409.835,NITBUS -N6--,el Camp d'en Grassot i Gràcia Nova
260,K015,2.165.616,41.401.343,NITBUS -N6--,el Camp d'en Grassot i Gràcia Nova
261,K015,2.169.135,41.397.019,NITBUS -N9--,la Dreta de l'Eixample
262,K014,2.191.887,41.435.169,BUS -H4-V31--,Sant Andreu
263,K014,2.191.493,41.435.781,BUS -126--,Sant Andreu
264,K014,2.183.553,41.389.532,BUS -47-V17-H16-V15-V19--,"Sant Pere, Santa Caterina i la Ribera"
265,K014,212.596,41.398.462,BUS -68-V7--,les Tres Torres
266,K015,212.596,41.398.462,NITBUS -N7--,les Tres Torres
267,K015,2.124.064,41.399.974,NITBUS -N7--,les Tres Torres
268,K015,2.167.197,41.375.093,NITBUS -N0--,Sant Antoni
269,K014,2.133.616,41.389.654,BUS -6-7-33-34-63-67-E79-E30--,les Corts
270,K014,2.139.105,41.359.857,BUS -109-V3-H16--,la Marina de Port
271,K015,2.139.105,41.359.857,NITBUS -N1--,la Marina de Port
272,K014,2.141.955,41.416.297,BUS -27--,Vallcarca i els Penitents
273,K014,2.153.194,41.438.004,BUS -27-60-76-H4-M19--,Horta
274,K014,2.153.516,41.437.458,BUS -102-185-V25--,Horta
275,K014,2.201.003,41.436.498,BUS -11-60-H8-H4--,el Bon Pastor
276,K014,2.208.063,41.439.286,BUS -11-H4--,el Bon Pastor
277,K015,2.202.103,41.419.895,NITBUS -N8--,la Verneda i la Pau
278,K015,2.160.105,4.138.793,NITBUS -N3-N7-N8--,l'Antiga Esquerra de l'Eixample
279,K014,2.138.216,41.412.131,BUS -124-131-V17-V15-H4-V19--,el Putxet i el Farró
280,K014,2.180.585,41.446.491,BUS -60--,la Trinitat Nova
281,K014,2.135.236,41.409.411,BUS -123--,Sant Gervasi - la Bonanova
282,K014,2.160.107,41.390.229,BUS -63-H10--,l'Antiga Esquerra de l'Eixample
283,K015,2.143.999,41.411.396,NITBUS -N4--,el Putxet i el Farró
284,K015,2.143.018,41.426.922,NITBUS -N4--,Montbau
285,K015,2.199.343,41.393.056,NITBUS -N8--,la Vila Olímpica del Poblenou
286,K014,218.757,41.394.184,BUS -V21--,el Parc i la Llacuna del Poblenou
287,K014,2.152.318,41.399.595,BUS -27-V15-D40--,la Vila de Gràcia
288,K015,215.116,41.389.413,NITBUS -N12-N7--,l'Antiga Esquerra de l'Eixample
289,K014,2.166.776,41.401.294,BUS -V19--,la Dreta de l'Eixample
290,K015,2.166.776,41.401.294,NITBUS -N4--,la Dreta de l'Eixample
291,K015,2.169.301,41.386.889,NITBUS -N1--,la Dreta de l'Eixample
292,K015,2.194.634,413.832,NITBUS -N12-N28--,la Barceloneta
293,K015,2.143.527,41.398.597,NITBUS -N8--,Sant Gervasi - Galvany
294,K014,2.163.015,41.432.716,BUS -185--,Horta
295,K014,2.131.275,41.428.132,BUS -112--,Sant Genís dels Agudells
296,K015,2.210.232,41.407.055,NITBUS -N6--,Diagonal Mar i el Front Marítim del Poblenou
297,K014,2.190.941,41.426.348,BUS -34-126-H8-V31--,la Sagrera
298,K014,2.172.839,41.381.452,BUS -59-V13--,el Raval
299,K015,2.170.151,41.385.084,NITBUS -N9--,el Raval
300,K015,218.032,4.139.877,NITBUS -N2-N3-N7--,el Fort Pienc
301,K014,2.186.235,41.443.071,BUS -62-96-97-104--,la Prosperitat
302,K014,2.159.266,41.421.578,BUS -V23--,la Font d'en Fargues
303,K015,2.166.054,41.394.697,NITBUS -N9--,la Dreta de l'Eixample
304,K015,2.142.934,41.425.229,NITBUS -N4--,la Vall d'Hebron
305,K014,2.136.701,41.397.886,BUS -68-V11--,Sant Gervasi - Galvany
306,K015,2.133.708,4.139.773,NITBUS -N7--,Sant Gervasi - Galvany
307,K014,2.135.393,41.400.681,BUS -70-H6--,Sant Gervasi - la Bonanova
308,K015,2.135.393,41.400.681,NITBUS -N0--,Sant Gervasi - la Bonanova
309,K015,2.127.749,41.403.397,NITBUS -N8--,les Tres Torres
310,K014,2.201.779,41.420.094,BUS -33-H10--,la Verneda i la Pau
311,K015,2.149.862,41.406.149,NITBUS -N4--,el Putxet i el Farró
312,K014,2.159.977,41.386.171,BUS -54-V13--,l'Antiga Esquerra de l'Eixample
313,K014,2.145.503,4.142.279,BUS -19-H2--,la Teixonera
314,K014,2.171.968,41.418.611,BUS -39-D40-V23--,el Guinardó
315,K014,2.174.064,4.146.223,BUS -62-76-155--,Ciutat Meridiana
316,K015,2.174.064,4.146.223,NITBUS -N3--,Ciutat Meridiana
317,K014,2.183.646,41.433.363,BUS -62-96-126-133--,Sant Andreu
318,K014,2.136.866,41.427.544,BUS -19-76-112--,Sant Genís dels Agudells
319,K014,2.144.262,41.413.093,BUS -22-87-V19--,Vallcarca i els Penitents
320,K015,2.144.262,41.413.093,NITBUS -N5--,Vallcarca i els Penitents
321,K014,215.863,41.414.915,BUS -24-V19--,la Salut
322,K014,2.190.934,41.439.445,BUS -126-H4-V31--,Sant Andreu
323,K015,2.172.455,41.445.551,NITBUS -N6--,les Roquetes
324,K014,2.125.365,41.332.166,BUS -21-109--,la Marina del Prat Vermell
325,K015,2.159.921,41.374.911,NITBUS -N0--,el Poble-sec
326,K015,2.172.594,41.459.956,NITBUS -N3--,Ciutat Meridiana
327,K014,2.141.319,41.422.371,BUS -19-27-119-H4--,la Teixonera
328,K014,2.126.971,41.387.467,BUS -70-V3-V5-M12-175--,la Maternitat i Sant Ramon
329,K014,2.180.278,41.390.721,BUS -B25-B20-H16-V19--,"Sant Pere, Santa Caterina i la Ribera"
330,K014,2.206.737,41.405.599,BUS -B25-V27--,Diagonal Mar i el Front Marítim del Poblenou
331,K014,216.268,41.38,BUS -55-120-141-H16-V11-D50--,Sant Antoni
332,K015,2.137.384,41.331.072,NITBUS -N1--,la Marina del Prat Vermell
333,K014,2.128.784,41.330.141,BUS -109--,la Marina del Prat Vermell
334,K015,2.146.179,41.405.856,NITBUS -N0--,el Putxet i el Farró
335,K014,2.174.516,41.430.801,BUS -47-132-D40-V29-D50--,el Turó de la Peira
336,K014,2.181.928,41.430.305,BUS -11-34-122-H6-V29--,Porta
337,K015,214.478,41.430.697,NITBUS -N4--,Montbau
338,K015,2.185.031,41.382.581,NITBUS -N0-N12-N6-N8-N28--,"Sant Pere, Santa Caterina i la Ribera"
339,K014,2.192.323,41.379.196,BUS -47-59-D20--,la Barceloneta
340,K014,2.163.191,41.406.685,BUS -V19--,el Camp d'en Grassot i Gràcia Nova
341,K014,2.168.488,41.427.509,BUS -19-V25--,Vilapicina i la Torre Llobeta
342,K014,2.153.584,41.437.304,BUS -102-V25--,Horta
343,K014,2.145.374,41.402.377,BUS -V15--,Sant Gervasi - Galvany
344,K015,2.139.954,41.401.276,NITBUS -N8--,Sant Gervasi - Galvany
345,K015,2.117.209,41.403.988,NITBUS -N8--,Sarrià
346,K015,2.180.525,41.447.413,NITBUS -N1-N6--,la Trinitat Nova
347,K015,2.155.939,41.380.067,NITBUS -N1-N13-N14-N15-N16-N17-N2-N18-N28--,Sant Antoni
348,K014,2.155.982,41.375.681,BUS -55--,Sant Antoni
349,K015,2.164.916,41.414.861,NITBUS -N0-N6--,Can Baró
350,K014,2.205.973,41.405.742,BUS -B25-B20-136--,el Poblenou
351,K015,2.205.973,41.405.742,NITBUS -N6--,el Poblenou
352,K015,2.194.787,41.409.076,NITBUS -N2--,Provençals del Poblenou
353,K014,2.190.539,41.414.948,BUS -33-34-B24-H10--,Navas
354,K015,2.166.017,41.399.796,NITBUS -N6--,la Dreta de l'Eixample
355,K015,2.175.899,41.426.431,NITBUS -N1-N6--,Vilapicina i la Torre Llobeta
356,K014,2.150.152,41.405.775,BUS -27-D40--,la Vila de Gràcia
357,K014,2.149.537,41.406.776,BUS -24-H6-D40--,la Vila de Gràcia
358,K015,2.149.537,41.406.776,NITBUS -N0--,la Vila de Gràcia
359,K014,2.150.107,41.403.669,BUS -27-D40--,la Vila de Gràcia
360,K015,2.191.107,41.423.057,NITBUS -N9--,la Sagrera
361,K014,2.186.785,41.421.968,BUS -62-96-H8-V27--,la Sagrera
362,K014,2.121.579,41.386.995,BUS -7-33-L97-H6-E97-E98--,Pedralbes
363,K015,2.170.154,4.141.653,NITBUS -N6--,el Guinardó
364,K014,2.197.453,41.411.116,BUS -H12--,Provençals del Poblenou
365,K014,2.128.494,41.378.962,BUS -54--,Sants - Badal
366,K014,2.192.438,41.433.612,BUS -11-126-133--,Sant Andreu
367,K015,2.172.812,41.389.051,NITBUS -N11-N12-N15-N4-N8-N28--,la Dreta de l'Eixample
368,K015,2.164.519,4.138.566,NITBUS -N6--,el Raval
369,K015,2.163.298,41.393.379,NITBUS -N4-N6--,la Dreta de l'Eixample
370,K014,2.141.542,41.411.635,BUS -V17-V19--,el Putxet i el Farró
371,K015,2.172.252,41.435.247,NITBUS -N1-N6--,Porta
372,K015,2.181.829,41.406.519,NITBUS -N9--,la Sagrada Família
