CODI_CAPA,CAPA_GENERICA,NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI,ID,id
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.182157,41.407093,Encants (València / Mallorca)-,10,64,Sant Martí,el Camp de l'Arpa del Clot,176,176
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.128644,41.368844,METRO (L1) - Santa Eulàlia-,,,,,177,177
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.168086,41.400393,METRO (L4) - Verdaguer-,2,7,Eixample,la Dreta de l'Eixample,178,178
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.144991,41.343005,METRO (L10S) - Zona Franca-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,179,179
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.125817,41.387844,METRO (L3) - Maria Cristina-,4,20,Les Corts,la Maternitat i Sant Ramon,180,180
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.184122,41.449528,METRO (L3) - Trinitat Nova-,8,53,Nou Barris,la Trinitat Nova,181,181
K011,Transports i serveis relacionats,Tramvia,2.213571,41.417238,"TRAMVIA (T5, T6) - ALFONS EL MAGNÀNIM-",10,70,Sant Martí,el Besòs i el Maresme,182,182
K011,Transports i serveis relacionats,Tramvia,2.217564,41.41938,"TRAMVIA (T5, T6) - PARC DEL BESÓS-",,,,,183,183
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.147016,41.401372,FGC - SANT GERVASI-,5,26,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,184,184
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.102659,41.358582,METRO (L1) - Av. Carrilet-,,,,,185,185
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.174015,41.41599,METRO (L4) - Guinardó | Hospital de Sant Pau-,7,35,Horta-Guinardó,el Guinardó,186,186
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.209909,41.430032,METRO (L2) - Verneda-,,,,,187,187
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.099472,41.371307,METRO (L5) - Can Vidalet-,,,,,188,188
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.166408,41.412405,METRO (L4) - Alfons X-,7,33,Horta-Guinardó,el Baix Guinardó,189,189
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.174675,41.460836,METRO (L11) - Ciutat Meridiana-,8,55,Nou Barris,Ciutat Meridiana,190,190
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.137173,41.410227,FGC - AVINGUDA DEL TIBIDABO-,5,25,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,191,191
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.142617,41.403596,FGC - PADUA-,5,26,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,192,192
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.145362,41.378521,METRO (L3) - Tarragona-,2,9,Eixample,la Nova Esquerra de l'Eixample,193,193
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.115783,41.368251,METRO (L9SL10S) - Torrassa-,,,,,194,194
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.158856,41.394463,METRO (L5) - Diagonal-,2,7,Eixample,la Dreta de l'Eixample,195,195
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.167115,41.39898,METRO (L5) - Verdaguer-,2,7,Eixample,la Dreta de l'Eixample,196,196
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.181523,41.415088,METRO (L5) - Camp de l'Arpa-,10,64,Sant Martí,el Camp de l'Arpa del Clot,197,197
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.16,41.429721,METRO (L5) - Horta-,7,43,Horta-Guinardó,Horta,198,198
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.142382,41.425021,METRO (L5) - Vall d'Hebron-,7,40,Horta-Guinardó,Montbau,199,199
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.169671,41.388085,Catalunya (Passeig de Gràcia)-,2,7,Eixample,la Dreta de l'Eixample,200,200
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.175021,41.389956,Urquinaona (Bruc)-,2,7,Eixample,la Dreta de l'Eixample,201,201
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.18713,41.395239,Marina (Almogàvers)-,10,66,Sant Martí,el Parc i la Llacuna del Poblenou,202,202
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.187159,41.416905,Navas (Biscaia)-,9,63,Sant Andreu,Navas,203,203
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.191044,41.437482,Sant Andreu (Joan Torras)-,9,60,Sant Andreu,Sant Andreu,204,204
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.168159,41.375117,Paral·lel (Ronda Sant Pau)-,1,1,Ciutat Vella,el Raval,205,205
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.125868,41.356743,Europa | Fira (Fira Gran Via)-,,,,,206,206
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.087401,41.316916,Parc Nou (Riu Llobregat / Riu Xúquer)-,,,,,207,207
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.154421,41.378611,Rocafort (Rocafort / Sepúlveda)-,2,10,Eixample,Sant Antoni,208,208
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.135502,41.397638,FGC - BONANOVA-,5,26,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,209,209
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.187144,41.421794,La Sagrera (Meridiana | Hondures)-,9,61,Sant Andreu,la Sagrera,210,210
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.16764,41.388952,Passeig de Gràcia (Rbla. Catalunya)-,2,7,Eixample,la Dreta de l'Eixample,211,211
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.148451,41.435372,Mundet (Salesians)-,7,41,Horta-Guinardó,la Vall d'Hebron,212,212
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.23786,41.444385,Pep Ventura (Avinguda Alfons XIII)-,,,,,213,213
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.1852,41.451289,Casa de l'Aigua (Aiguablava)-,8,53,Nou Barris,la Trinitat Nova,214,214
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.206108,41.423466,La Pau (Rambla Guipúscoa / Ca n'Oliva)-,10,73,Sant Martí,la Verneda i la Pau,215,215
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.184372,41.449449,Trinitat Nova (Palamós)-,8,53,Nou Barris,la Trinitat Nova,216,216
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.179282,41.459334,Torre Baró | Vallbona (Sant Feliu de Codines)-,8,54,Nou Barris,Torre Baró,217,217
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.181941,41.392996,Arc de Triomf (Nàpols)-,2,5,Eixample,el Fort Pienc,218,218
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.168511,41.43058,Vilapicina (Teide)-,8,46,Nou Barris,el Turó de la Peira,219,219
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.175771,41.403899,Sagrada Família (Mallorca - Marina)-,2,6,Eixample,la Sagrada Família,220,220
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.16545,41.392028,Passeig de Gràcia (Aragó / Pau Claris)-,2,7,Eixample,la Dreta de l'Eixample,221,221
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.140981,41.417415,Penitents (Anna Piferrer)-,6,28,Gràcia,Vallcarca i els Penitents,222,222
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.151636,41.399679,FGC - GRÀCIA (C. de Marià Cubí)-,5,26,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,223,223
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.174512,41.416048,Guinardó | Hospital de Sant Pau (Sant Quintí)-,7,35,Horta-Guinardó,el Guinardó,224,224
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.173922,41.437645,Llucmajor (Passeig Verdum / Llucmajor)-,8,48,Nou Barris,la Guineueta,225,225
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.178923,41.444281,Via Júlia (Via Júlia / Joaquim Valls)-,8,52,Nou Barris,la Prosperitat,226,226
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.131699,41.362404,Ciutat de la Justícia (Gran Via / Alhambra)-,,,,,227,227
K003,Transports i serveis relacionats,RENFE,2.147997,41.492347,RENFE - CERDANYOLA DEL VALLÈS-,,,,,228,228
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.124523,41.39935,FGC - SARRIÀ-,5,23,Sarrià-Sant Gervasi,Sarrià,229,229
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.130463,41.361391,FGC - ILDEFONS CERDÀ-,,,,,230,230
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.160976,41.430139,Horta (Plaça Eivissa)-,7,43,Horta-Guinardó,Horta,231,231
K003,Transports i serveis relacionats,RENFE,2.169312,41.387546,RENFE - CATALUNYA-,2,7,Eixample,la Dreta de l'Eixample,232,232
K003,Transports i serveis relacionats,RENFE,2.188597,41.409995,RENFE - CLOT-,10,65,Sant Martí,el Clot,233,233
K003,Transports i serveis relacionats,RENFE,2.185449,41.384232,RENFE - DE FRANÇA-,1,4,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",234,234
K003,Transports i serveis relacionats,RENFE,2.183101,41.430862,RENFE - SANT ANDREU ARENAL-,9,60,Sant Andreu,Sant Andreu,235,235
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.167342,41.430599,Vilapicina (Canfranc)-,8,46,Nou Barris,el Turó de la Peira,236,236
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.165214,41.441723,Canyelles (García Lorca)-,8,49,Nou Barris,Canyelles,237,237
K011,Transports i serveis relacionats,Tramvia,2.203312,41.40744,TRAMVIA (T4) - FLUVIÀ-,10,71,Sant Martí,Provençals del Poblenou,238,238
K003,Transports i serveis relacionats,RENFE,2.165256,41.39187,RENFE - PASSEIG DE GRÀCIA-,2,7,Eixample,la Dreta de l'Eixample,239,239
K011,Transports i serveis relacionats,Tramvia,2.087563,41.376495,"TRAMVIA (T1,T2,T3) - PONT D'ESPLUGUES-",,,,,240,240
K011,Transports i serveis relacionats,Tramvia,2.066109,41.356699,"TRAMVIA (T1,T2) - LES AIGÜES-",,,,,241,241
K011,Transports i serveis relacionats,Tramvia,2.05321,41.379349,Tramvia (T3) - SANT FELIU/CONSELL COMARCAL-,,,,,242,242
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.181739,41.448687,Trinitat Nova (Aiguablava)-,8,53,Nou Barris,la Trinitat Nova,243,243
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.107952,41.37406,Pubilla Cases (Doctor Ramon Solanich)-,,,,,244,244
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.158906,41.394274,Diagonal (Rosselló / FGC)-,2,7,Eixample,la Dreta de l'Eixample,245,245
K008,Transports i serveis relacionats,Estació marítima,2.179986,41.360226,Terminal Marítima C *Creuers-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,246,246
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.126533,41.388322,Maria Cristina (Capità Arenas)-,4,21,Les Corts,Pedralbes,247,247
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.175585,41.394915,METRO (L2) - Tetuan-,2,7,Eixample,la Dreta de l'Eixample,248,248
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.233466,41.440265,METRO (L2) - Gorg-,,,,,249,249
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.207994,41.451095,METRO (L1) - Santa Coloma-,,,,,250,250
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.17569,41.376567,METRO (L3) - Drassanes-,1,1,Ciutat Vella,el Raval,251,251
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.153048,41.402037,METRO (L3) - Fontana-,6,31,Gràcia,la Vila de Gràcia,252,252
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.224762,41.442845,METRO (L10N) - La Salut-,,,,,253,253
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.141831,41.35619,METRO (L10S) - Foc-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,254,254
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.141018,41.381626,METRO (L3) - Sants Estació-,3,18,Sants-Montjuïc,Sants,255,255
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.110944,41.351005,METRO (L1) - Bellvitge-,,,,,256,256
K011,Transports i serveis relacionats,Tramvia,2.192089,41.387575,TRAMVIA (T4) - CIUTADELLA-VILA OLÍMPICA-,10,67,Sant Martí,la Vila Olímpica del Poblenou,257,257
K011,Transports i serveis relacionats,Tramvia,2.058263,41.363968,"TRAMVIA (T1,T2) - BON VIATGE-",,,,,258,258
K011,Transports i serveis relacionats,Tramvia,2.062535,41.36756,TRAMVIA (T2) - LA FONTSANTA-,,,,,259,259
K011,Transports i serveis relacionats,Tramvia,2.22531,41.427474,TRAMVIA (T5) - SANT JOAN BAPTISTA-,,,,,260,260
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.125789,41.398544,FGC - SARRIÀ-,5,24,Sarrià-Sant Gervasi,les Tres Torres,261,261
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.193017,41.386715,METRO (L4) - Ciutadella | Vila Olímpica-,10,67,Sant Martí,la Vila Olímpica del Poblenou,262,262
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.217798,41.433876,METRO (L2) - Artigues | Sant Adrià-,,,,,263,263
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.137098,41.330188,METRO (L10S) - Ecoparc-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,264,264
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.187001,41.422397,METRO (L1) - La Sagrera-,9,61,Sant Andreu,la Sagrera,265,265
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.173369,41.437013,METRO (L4) - Llucmajor-,8,48,Nou Barris,la Guineueta,266,266
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.150433,41.405766,METRO (L3) - Lesseps-,6,31,Gràcia,la Vila de Gràcia,267,267
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.00528,41.398991,FGC - CAN ROS-,,,,,268,268
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.031499,41.363609,FGC - COLÒNIA GÜELL-,,,,,269,269
K008,Transports i serveis relacionats,Estació marítima,2.173838,41.364349,Estació Marítima Grimaldi Lines-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,270,270
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.151107,41.388636,METRO (L5) - Hospital Clínic-,2,8,Eixample,l'Antiga Esquerra de l'Eixample,271,271
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.155125,41.424478,METRO (L5) - El Carmel-,7,37,Horta-Guinardó,el Carmel,272,272
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.073499,41.311254,METRO (L9S) - Mas Blau-,,,,,273,273
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.1031,41.329148,METRO (L9S) - Les Moreres-,,,,,274,274
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.198594,41.456694,METRO (L9N) - Can Zam-,,,,,275,275
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.212202,41.454825,METRO (L9N) - Església Major-,,,,,276,276
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.176042,41.410781,METRO (L5) - Sant Pau | Dos de Maig-,2,6,Eixample,la Sagrada Família,277,277
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.186608,41.421324,METRO (L5) - La Sagrera-,9,61,Sant Andreu,la Sagrera,278,278
K008,Transports i serveis relacionats,Estació marítima,2.183262,41.375795,Terminal Marítima Maremàgnum *Creuers-,1,2,Ciutat Vella,el Barri Gòtic,279,279
K009,Transports i serveis relacionats,Funicular,2.105977,41.414261,Funicular Vallvidrera - FGC-,5,22,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",280,280
K004,Transports i serveis relacionats,Tren a l'aeroport,2.188597,41.409995,Tren AEROPORT - CLOT-,10,65,Sant Martí,el Clot,281,281
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.125369,41.357005,FGC - EUROPA / FIRA-,,,,,282,282
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.190689,41.442422,Torras i Bages (Palomar / costat muntanya)-,9,60,Sant Andreu,Sant Andreu,283,283
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.20788,41.450993,Santa Coloma (Avinguda Santa Coloma)-,,,,,284,284
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.138587,41.375299,Plaça de Sants (Cros)-,3,18,Sants-Montjuïc,Sants,285,285
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.154836,41.379687,Rocafort (Calàbria / Diputació)-,2,9,Eixample,la Nova Esquerra de l'Eixample,286,286
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.025086,41.369224,FGC - SANTA COLOMA DE CERVELLÓ-,,,,,287,287
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.187468,41.423061,La Sagrera (Jardins d'Elx)-,9,61,Sant Andreu,la Sagrera,288,288
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.194088,41.448962,Trinitat Vella (Parc de la Trinitat)-,9,57,Sant Andreu,la Trinitat Vella,289,289
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.163729,41.385431,Universitat (Plaça Universitat)-,2,10,Eixample,Sant Antoni,290,290
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.200007,41.418547,Sant Martí (Agricultura)-,10,72,Sant Martí,Sant Martí de Provençals,291,291
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.233931,41.440171,Gorg (Guifré)-,,,,,292,292
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.168503,41.430354,Vilapicina (Passeig de les Palmeres)-,8,44,Nou Barris,Vilapicina i la Torre Llobeta,293,293
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.174444,41.415797,Guinardó | Hospital de Sant Pau (Hospital de Sant Pau)-,7,35,Horta-Guinardó,el Guinardó,294,294
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.186195,41.410296,Clot (Sibelius)-,10,64,Sant Martí,el Camp de l'Arpa del Clot,295,295
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.13707,41.330056,Ecoparc (Carrer A (costat mar))-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,296,296
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.133155,41.323858,ZAL | Riu Vell (Carrer A / Carrer 5)-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,297,297
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.170274,41.374845,Paral·lel (Avinguda Paral·lel)-,3,11,Sants-Montjuïc,el Poble-sec,298,298
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.169557,41.385492,Catalunya (Pelai)-,1,1,Ciutat Vella,el Raval,299,299
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.110914,41.409282,FGC - PEU FUNICULAR-,5,23,Sarrià-Sant Gervasi,Sarrià,300,300
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.157956,41.392909,FGC - PROVENÇA-,2,8,Eixample,l'Antiga Esquerra de l'Eixample,301,301
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.17086,41.394863,Girona (Consell de Cent)-,2,7,Eixample,la Dreta de l'Eixample,302,302
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.146137,41.384992,Entença (Rocafort)-,2,9,Eixample,la Nova Esquerra de l'Eixample,303,303
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.174248,41.404525,Sagrada Família (Provença / Avinguda Gaudí)-,2,6,Eixample,la Sagrada Família,304,304
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.130642,41.383926,Les Corts (Travessera de les Corts)-,4,19,Les Corts,les Corts,305,305
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.14169,41.380974,Sants Estació (Pl. Països Catalans / Numància / Ambulatori)-,3,18,Sants-Montjuïc,Sants,306,306
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.159887,41.3961,Diagonal (Diagonal / Rambla Catalunya)-,2,7,Eixample,la Dreta de l'Eixample,307,307
K003,Transports i serveis relacionats,RENFE,2.185163,41.484284,RENFE - MONTCADA I REIXAC-MANRESA-,,,,,308,308
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.21544,41.415712,Besòs Mar (Ferrer Bassa)-,10,70,Sant Martí,el Besòs i el Maresme,309,309
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.209593,41.408242,Selva de Mar (Selva de Mar)-,10,69,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,310,310
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.19344,41.387931,Ciutadella | Vila Olímpica (Avinguda Icària)-,10,67,Sant Martí,la Vila Olímpica del Poblenou,311,311
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.217314,41.433391,Artigues | Sant Adrià (Avinguda Joan XXIII)-,,,,,312,312
K004,Transports i serveis relacionats,Tren a l'aeroport,2.115466,41.354367,Tren AEROPORT - BELLVITGE-,,,,,313,313
K003,Transports i serveis relacionats,RENFE,2.060314,41.368661,RENFE - ST. JOAN DESPÍ-,,,,,314,314
K011,Transports i serveis relacionats,Tramvia,2.136412,41.390505,"TRAMVIA (T1,T2,T3) - L'ILLA-",4,19,Les Corts,les Corts,315,315
K011,Transports i serveis relacionats,Tramvia,2.188338,41.390398,TRAMVIA (T4) - WELLINGTON-,10,67,Sant Martí,la Vila Olímpica del Poblenou,316,316
K011,Transports i serveis relacionats,Tramvia,2.204513,41.416358,"TRAMVIA (T5, T6) - SANT MARTÍ DE PROVENÇALS-",10,71,Sant Martí,Provençals del Poblenou,317,317
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.083955,41.363418,Sant Ildefons (Avinguda República Argentina)-,,,,,318,318
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.178625,41.44359,Via Júlia (Via Júlia / Argullós)-,8,52,Nou Barris,la Prosperitat,319,319
K011,Transports i serveis relacionats,Tramvia,2.214952,41.41033,TRAMVIA (T4) - DIAGONAL MAR-,10,69,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,320,320
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.145151,41.378926,Tarragona (València)-,2,9,Eixample,la Nova Esquerra de l'Eixample,321,321
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.145789,41.377887,Tarragona (Tarragona)-,3,15,Sants-Montjuïc,Hostafrancs,322,322
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.143278,41.375426,Hostafrancs (Consell de Cent)-,3,15,Sants-Montjuïc,Hostafrancs,323,323
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.145074,41.38415,Entença (Entença)-,2,9,Eixample,la Nova Esquerra de l'Eixample,324,324
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.173094,41.403718,Sagrada Família (Sardenya)-,2,6,Eixample,la Sagrada Família,325,325
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.180809,41.423585,Congrés (Francesc Tàrrega)-,9,62,Sant Andreu,el Congrés i els Indians,326,326
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.176487,41.425536,Maragall (Prat d'en Roquer)-,8,44,Nou Barris,Vilapicina i la Torre Llobeta,327,327
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.116228,41.368615,Torrassa (Av. Catalunya)-,,,,,328,328
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.14174,41.424703,Vall d'Hebron (Avinguda Jordà)-,7,39,Horta-Guinardó,Sant Genís dels Agudells,329,329
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.174807,41.394865,Tetuan (Diputació / Passeig de Sant Joan)-,2,7,Eixample,la Dreta de l'Eixample,330,330
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.170851,41.394948,METRO (L4) - Girona-,2,7,Eixample,la Dreta de l'Eixample,331,331
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.203397,41.403744,METRO (L4) - Poblenou-,10,68,Sant Martí,el Poblenou,332,332
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.143318,41.375282,METRO (L1) - Hostafrancs-,3,15,Sants-Montjuïc,Hostafrancs,333,333
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.160272,41.375024,METRO (L3) - Poble Sec-,2,10,Eixample,Sant Antoni,334,334
K011,Transports i serveis relacionats,Tramvia,2.221856,41.422595,TRAMVIA (T5) - LA CATALANA-,,,,,335,335
K011,Transports i serveis relacionats,Tramvia,2.186968,41.397311,TRAMVIA (T4) - AUDITORI-TEATRE NACIONAL-,10,66,Sant Martí,el Parc i la Llacuna del Poblenou,336,336
K011,Transports i serveis relacionats,Tramvia,2.186918,41.39407,TRAMVIA (T4) - MARINA-,10,66,Sant Martí,el Parc i la Llacuna del Poblenou,337,337
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.147573,41.401403,FGC - PLAÇA MOLINA<center>-,5,27,Sarrià-Sant Gervasi,el Putxet i el Farró,338,338
K011,Transports i serveis relacionats,Tramvia,2.121492,41.386718,"TRAMVIA (T1,T2,T3) - PIUS XII-",4,20,Les Corts,la Maternitat i Sant Ramon,339,339
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.140998,41.418307,METRO (L3) - Penitents-,6,28,Gràcia,Vallcarca i els Penitents,340,340
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.176124,41.447698,METRO (L3) - Roquetes-,8,50,Nou Barris,les Roquetes,341,341
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.08442,41.363409,METRO (L5) - Sant Ildefons-,,,,,342,342
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.209148,41.40803,METRO (L4) - Selva de Mar-,10,69,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,343,343
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.152507,41.399554,FGC - GRÀCIA-,6,31,Gràcia,la Vila de Gràcia,344,344
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.169598,41.385842,FGC - CATALUNYA (C. de Pelai)-,2,7,Eixample,la Dreta de l'Eixample,345,345
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.142852,41.398976,FGC - MUNTANER-,5,26,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,346,346
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.133122,41.323735,METRO (L10S) - ZAL | Riu Vell-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,347,347
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.176511,41.425073,METRO (L5) - Maragall-,9,62,Sant Andreu,el Congrés i els Indians,348,348
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.148374,41.422025,METRO (L5) - El Coll | La Teixonera-,7,38,Horta-Guinardó,la Teixonera,349,349
