"TYPE","LONGITUD","LATITUD","EQUIPAMENT","NOM_BARRI"
"K014","2.161828","41.420842","BUS -22--","el Carmel"
"K015","2.165409","41.439467","NITBUS -N6--","la Guineueta"
"K014","2.164786","41.402783","BUS -47-H8--","el Camp d'en Grassot i Gràcia Nova"
"K015","2.190018","41.429358","NITBUS -N9--","Sant Andreu"
"K014","2.1598","41.367801","BUS -55-150--","el Poble-sec"
"K014","2.195612","41.388404","BUS -59-V21-V27-136--","la Vila Olímpica del Poblenou"
"K015","2.195612","41.388404","NITBUS -N0-N15--","la Vila Olímpica del Poblenou"
"K014","2.136259","41.425897","BUS -112--","Sant Genís dels Agudells"
"K015","2.167119","41.441507","NITBUS -N4--","la Guineueta"
"K014","2.170425","41.408343","BUS -47-H8--","el Baix Guinardó"
"K014","2.189575","41.452365","BUS -127--","la Trinitat Vella"
"K014","2.176764","41.376039","BUS -120--","el Raval"
"K014","2.172933","41.372956","BUS -121--","el Poble-sec"
"K014","2.096539","41.417113","BUS -118--","Vallvidrera, el Tibidabo i les Planes"
"K014","2.094525","41.418237","BUS -118--","Vallvidrera, el Tibidabo i les Planes"
"K014","2.134134","41.366575","BUS -V3--","la Bordeta"
"K014","2.144302","41.421397","BUS -119--","la Teixonera"
"K014","2.185849","41.466113","BUS -197--","Vallbona"
"K014","2.180955","41.467619","BUS -197--","Vallbona"
"K014","2.149764","41.41227","BUS -116--","la Salut"
"K014","2.151891","41.411214","BUS -116--","la Salut"
"K014","2.169897","41.421205","BUS -117--","el Guinardó"
"K014","2.147973","41.426889","BUS -112-185-V17--","la Vall d'Hebron"
"K014","2.146298","41.421325","BUS -119--","la Teixonera"
"K014","2.177169","41.37483","BUS -D20-H14--","el Raval"
"K014","2.14566","41.391811","BUS -V9--","l'Antiga Esquerra de l'Eixample"
"K014","2.150992","41.44014","BUS -185--","Horta"
"K014","2.153677","41.358017","BUS -107--","el Poble-sec"
"K014","2.140233","41.381606","BUS -115--","Sants"
"K014","2.210416","41.422325","BUS -H12--","la Verneda i la Pau"
"K015","2.201158","41.409794","NITBUS -N8--","Provençals del Poblenou"
"K015","2.207921","41.436507","NITBUS -N8--","el Bon Pastor"
"K015","2.103999","41.384955","NITBUS -N12--","Pedralbes"
"K014","2.14976","41.43722","BUS -27-60-76-H4-M19--","Horta"
"K014","2.140743","41.399822","BUS -V13--","Sant Gervasi - Galvany"
"K014","2.14837","41.435655","BUS -27-60-76-H4-M19--","la Vall d'Hebron"
"K014","2.117849","41.380724","BUS -V1--","la Maternitat i Sant Ramon"
"K014","2.157162","41.411771","BUS -116--","la Salut"
"K014","2.187588","41.369252","BUS -V19--","la Barceloneta"
"K014","2.137058","41.410145","BUS -V13--","Sant Gervasi - la Bonanova"
"K014","2.188181","41.37759","BUS -V15-V19--","la Barceloneta"
"K015","2.204872","41.43555","NITBUS -N8--","el Bon Pastor"
"K014","2.201307","41.425304","BUS -33-B24-V31-136--","la Verneda i la Pau"
"K014","2.169603","41.426043","BUS -V23--","la Font d'en Fargues"
"K014","2.203456","41.401922","BUS -B25-B20-136--","el Poblenou"
"K015","2.115572","41.331205","NITBUS -N1--","la Marina del Prat Vermell"
"K015","2.15214","41.424866","NITBUS -N4--","el Carmel"
"K015","2.144397","41.413057","NITBUS -N5--","Vallcarca i els Penitents"
"K014","2.149142","41.420179","BUS -22-129-V19--","el Coll"
"K015","2.134016","41.383938","NITBUS -N3--","les Corts"
"K015","2.12513","41.376455","NITBUS -N14-N2-N28--","Sants - Badal"
"K014","2.130121","41.377356","BUS -70--","Sants"
"K015","2.179693","41.4153","NITBUS -N1-N4--","el Guinardó"
"K014","2.181402","41.419825","BUS -191--","Navas"
"K014","2.196163","41.43681","BUS -11-H8-H4-M28--","el Bon Pastor"
"K015","2.168492","41.459889","NITBUS -N3--","Ciutat Meridiana"
"K014","2.168935","41.459552","BUS -62-76-183--","Ciutat Meridiana"
"K014","2.153886","41.412413","BUS -116--","la Salut"
"K014","2.120446","41.381225","BUS -101--","la Maternitat i Sant Ramon"
"K014","2.132708","41.404224","BUS -V11--","Sant Gervasi - la Bonanova"
"K014","2.155111","41.419976","BUS -22-V19--","el Carmel"
"K015","2.155111","41.419976","NITBUS -N4-N5--","el Carmel"
"K014","2.15103","41.420265","BUS -22-87-V19--","el Carmel"
"K014","2.179347","41.379539","BUS -120--","el Barri Gòtic"
"K015","2.199636","41.406323","NITBUS -N7--","el Poblenou"
"K014","2.204863","41.407623","BUS -7--","Diagonal Mar i el Front Marítim del Poblenou"
"K015","2.166959","41.385987","NITBUS -N11-N5-N7-N9--","la Dreta de l'Eixample"
"K014","2.141369","41.361342","BUS -13-125-V5--","la Marina de Port"
"K014","2.141165","41.353281","BUS -H16--","la Marina del Prat Vermell"
"K014","2.107358","41.390648","BUS -H2--","Pedralbes"
"K014","2.204076","41.436046","BUS -11--","el Bon Pastor"
"K015","2.191113","41.437013","NITBUS -N9--","Sant Andreu"
"K014","2.136255","41.409984","BUS -V13--","Sant Gervasi - la Bonanova"
"K014","2.136614","41.410996","BUS -196--","Sant Gervasi - la Bonanova"
"K015","2.191268","41.401445","NITBUS -N11--","el Parc i la Llacuna del Poblenou"
"K014","2.181739","41.459706","BUS -183-197--","Torre Baró"
"K014","2.134182","41.384627","BUS -V5--","les Corts"
"K014","2.140171","41.335617","BUS -21-109--","la Marina del Prat Vermell"
"K014","2.187168","41.410151","BUS -62--","el Clot"
"K014","2.172569","41.447709","BUS -127--","les Roquetes"
"K015","2.111899","41.376646","NITBUS -N3--","la Maternitat i Sant Ramon"
"K014","2.158956","41.387845","BUS -X1--","l'Antiga Esquerra de l'Eixample"
"K014","2.187447","41.398009","BUS -100--","el Parc i la Llacuna del Poblenou"
"K014","2.17464","41.456139","BUS -199--","Torre Baró"
"K014","2.140244","41.380354","BUS -L94--","Sants"
"K014","2.164813","41.403332","BUS -114--","el Camp d'en Grassot i Gràcia Nova"
"K014","2.131724","41.367942","BUS -V1--","la Bordeta"
"K014","2.122914","41.407131","BUS -V9--","Sant Gervasi - la Bonanova"
"K015","2.187158","41.408245","NITBUS -N3--","el Clot"
"K014","2.143314","41.434509","BUS -135--","Montbau"
"K014","2.141915","41.43318","BUS -135--","Montbau"
"K014","2.141499","41.432094","BUS -135--","Montbau"
"K014","2.159828","41.418579","BUS -119--","el Carmel"
"K015","2.200287","41.400191","NITBUS -N8--","el Poblenou"
"K014","2.186625","41.408025","BUS -62-V25--","el Clot"
"K015","2.19592","41.384955","NITBUS -N12--","la Barceloneta"
"K014","2.193069","41.442869","BUS -11-133--","Sant Andreu"
"K014","2.168181","41.406653","BUS -47-H8--","el Camp d'en Grassot i Gràcia Nova"
"K014","2.166544","41.390771","BUS -BCTE-BCTO--","la Dreta de l'Eixample"
"K014","2.178172","41.376319","BUS -BCTO--","el Barri Gòtic"
"K014","2.169253","41.386878","BUS -BCTE-BCTO--","la Dreta de l'Eixample"
"K014","2.196125","41.440382","BUS -M28--","el Bon Pastor"
"K014","2.212322","41.420601","BUS -B21--","el Besòs i el Maresme"
"K014","2.188633","41.398683","BUS -V23--","el Parc i la Llacuna del Poblenou"
"K014","2.195697","41.39343","BUS -V23--","la Vila Olímpica del Poblenou"
"K015","2.20158","41.391157","NITBUS -N6-N28--","la Vila Olímpica del Poblenou"
"K014","2.203945","41.438931","BUS -H8--","el Bon Pastor"
"K014","2.154902","41.37111","BUS -E80--","el Poble-sec"
"K014","2.135322","41.382008","BUS -54--","les Corts"
"K014","2.19637","41.435613","BUS -133--","el Bon Pastor"
"K014","2.157754","41.414024","BUS -116--","la Salut"
"K014","2.13503","41.394374","BUS -V9--","Sant Gervasi - Galvany"
"K014","2.130319","41.39957","BUS -V9--","les Tres Torres"
"K014","2.12472","41.401369","BUS -V9--","les Tres Torres"
"K014","2.127868","41.398152","BUS -V9--","les Tres Torres"
"K014","2.209768","41.403293","BUS -V27-V31--","Diagonal Mar i el Front Marítim del Poblenou"
"K014","2.176539","41.372617","BUS -88-89--","la Marina del Prat Vermell"
"K014","2.143326","41.328293","BUS -88-89--","la Marina del Prat Vermell"
"K014","2.16663","41.358709","BUS -88-89--","la Marina del Prat Vermell"
"K014","2.111963","41.394049","BUS -V5--","Pedralbes"
"K014","2.110378","41.393804","BUS -V5--","Pedralbes"
"K015","2.215585","41.418025","NITBUS -N6--","el Besòs i el Maresme"
"K015","2.215826","41.417942","NITBUS -N6--","el Besòs i el Maresme"
"K014","2.148753","41.39568","BUS -27-D40--","Sant Gervasi - Galvany"
"K014","2.15262","41.422432","BUS -87--","el Carmel"
"K014","2.155351","41.423954","BUS -86-87--","el Carmel"
"K014","2.205206","41.41257","BUS -B25--","Provençals del Poblenou"
"K015","2.203951","41.411348","NITBUS -N11--","Provençals del Poblenou"
"K016","2.170821","41.387362","AEROBUS -A2--","la Dreta de l'Eixample"
"K015","2.178263","41.375823","NITBUS -N0--","el Barri Gòtic"
"K014","2.155499","41.421604","BUS -86--","el Carmel"
"K014","2.148717","41.400087","BUS -198--","Sant Gervasi - Galvany"
"K014","2.143089","41.394267","BUS -198--","Sant Gervasi - Galvany"
"K014","2.138191","41.39301","BUS -198--","Sant Gervasi - Galvany"
"K014","2.135489","41.39329","BUS -198--","Sant Gervasi - Galvany"
"K014","2.137584","41.395112","BUS -198--","Sant Gervasi - Galvany"
"K014","2.136033","41.40045","BUS -V11--","Sant Gervasi - Galvany"
"K014","2.193001","41.403916","BUS -X1--","el Parc i la Llacuna del Poblenou"
"K014","2.180551","41.456096","BUS -180--","Torre Baró"
"K015","2.186771","41.416142","NITBUS -N3--","Navas"
"K014","2.120877","41.3777","BUS -157--","la Maternitat i Sant Ramon"
"K014","2.159207","41.429537","BUS -87--","Horta"
"K014","2.179528","41.41084","BUS -V23-D50--","el Camp de l'Arpa del Clot"
"K014","2.156909","41.393591","BUS -7-67-V15--","l'Antiga Esquerra de l'Eixample"
"K014","2.176964","41.410861","BUS -117--","la Sagrada Família"
"K014","2.13132","41.428067","BUS -112--","Sant Genís dels Agudells"
"K014","2.14437","41.392286","BUS -101--","l'Antiga Esquerra de l'Eixample"
"K014","2.145249","41.392108","BUS -100--","l'Antiga Esquerra de l'Eixample"
"K014","2.105336","41.414554","BUS -111--","Vallvidrera, el Tibidabo i les Planes"
"K014","2.105857","41.414256","BUS -111--","Vallvidrera, el Tibidabo i les Planes"
"K014","2.116576","41.418326","BUS -111--","Vallvidrera, el Tibidabo i les Planes"
"K014","2.103082","41.411349","BUS -111--","Vallvidrera, el Tibidabo i les Planes"
"K014","2.137184","41.329901","BUS -21-109--","la Marina del Prat Vermell"
"K015","2.140648","41.404285","NITBUS -N0--","Sant Gervasi - Galvany"
"K014","2.123685","41.376165","BUS -54--","Sants - Badal"
"K015","2.202718","41.44409","NITBUS -N8--","el Bon Pastor"
"K015","2.191513","41.417683","NITBUS -N9--","la Sagrera"
"K014","2.155634","41.386862","BUS -63--","l'Antiga Esquerra de l'Eixample"
"K014","2.146381","41.393149","BUS -6-7-33-34-H8--","l'Antiga Esquerra de l'Eixample"
"K014","2.156577","41.385322","BUS -59-141-V11--","l'Antiga Esquerra de l'Eixample"
"K015","2.139688","41.375288","NITBUS -N14-N2-N28--","Sants"
"K015","2.144589","41.375312","NITBUS -N14-N2-N28--","Hostafrancs"
"K014","2.214891","41.414367","BUS -V31-136--","el Besòs i el Maresme"
"K015","2.183214","41.382818","NITBUS -N0-N6--","Sant Pere, Santa Caterina i la Ribera"
"K014","2.211924","41.420489","BUS -B21-B25-V33--","el Besòs i el Maresme"
"K015","2.175927","41.461577","NITBUS -N3--","Ciutat Meridiana"
"K015","2.159057","41.409835","NITBUS -N6--","el Camp d'en Grassot i Gràcia Nova"
"K015","2.165616","41.401343","NITBUS -N6--","el Camp d'en Grassot i Gràcia Nova"
