NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI,id
Metro i línies urbanes FGC,2.16747,41.399107,Verdaguer (Bailèn)-,la Dreta de l'Eixample,61
Tramvia,2.098896,41.376486,"TRAMVIA (T1,T2,T3) - CA N'OLIVERES-",,62
Metro i línies urbanes FGC,2.195105,41.414871,Bac de Roda (Bac de Roda)-,Sant Martí de Provençals,63
Metro i línies urbanes FGC,2.150072,41.374841,Espanya (Exposició)-,el Poble-sec,64
Metro i línies urbanes FGC,2.158937,41.375177,Poble Sec (Manso)-,Sant Antoni,65
Metro i línies urbanes FGC,2.158979,41.374902,Poble Sec (Teodor Bonaplata)-,el Poble-sec,66
Metro i línies urbanes FGC,2.141301,41.417531,Penitents (Avinguda Vallcarca)-,Vallcarca i els Penitents,67
Metro i línies urbanes FGC,2.169533,41.387543,Catalunya (Centre Plaça)-,la Dreta de l'Eixample,68
Metro i línies urbanes FGC,2.158917,41.382515,METRO (L1) - Urgell-,l'Antiga Esquerra de l'Eixample,69
Metro i línies urbanes FGC,2.187563,41.402305,METRO (L1) - Glòries-,el Parc i la Llacuna del Poblenou,70
Metro i línies urbanes FGC,2.184813,41.381839,METRO (L4) - Barceloneta-,la Barceloneta,71
Metro i línies urbanes FGC,2.179488,41.400552,METRO (L2) - Monumental-,el Fort Pienc,72
Metro i línies urbanes FGC,2.20075,41.419092,METRO (L2) - Sant Martí-,Sant Martí de Provençals,73
Metro i línies urbanes FGC,2.216931,41.441388,METRO (L10N) - Llefià-,,74
Metro i línies urbanes FGC,2.138256,41.361128,METRO (L10S) - Foneria-,la Marina de Port,75
Metro i línies urbanes FGC,2.168879,41.373877,METRO (FM) - Paral·lel-,el Poble-sec,76
Metro i línies urbanes FGC,2.148498,41.435673,METRO (L3) - Mundet-,la Vall d'Hebron,77
Metro i línies urbanes FGC,2.173056,41.381473,METRO (L3) - Liceu-,el Barri Gòtic,78
Metro i línies urbanes FGC,2.169144,41.374921,METRO (L3) - Paral·lel-,el Poble-sec,79
Tramvia,2.075814,41.372339,TRAMVIA (T3) - SANT MARTÍ DE L'ERM-,,80
Tramvia,2.084309,41.373477,"TRAMVIA (T1,T2,T3) - LA SARDANA-",,81
Funicular,2.176893,41.460819,Ascensor Inclinat - Funicular Ciutat Meridiana-,Ciutat Meridiana,82
Tramvia,2.075217,41.378842,TRAMVIA (T3) - RAMBLA DE SANT JUST-,,83
Tramvia,2.22618,41.418903,"TRAMVIA (T4, T6) - PORT FÒRUM-",,84
Metro i línies urbanes FGC,2.21846,41.451611,METRO (L1) - Fondo-,,85
Metro i línies urbanes FGC,2.165373,41.391631,METRO (L3) - Passeig de Gràcia-,la Dreta de l'Eixample,86
Metro i línies urbanes FGC,2.195529,41.41519,METRO (L2) - Bac de Roda-,Sant Martí de Provençals,87
Metro i línies urbanes FGC,2.199588,41.449964,METRO (L1) - Baró de Viver-,la Trinitat Vella,88
Metro i línies urbanes FGC,2.192038,41.395136,METRO (L4) - Bogatell-,el Parc i la Llacuna del Poblenou,89
Metro i línies urbanes FGC,2.178557,41.384154,METRO (L4) - Jaume I-,"Sant Pere, Santa Caterina i la Ribera",90
